Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,,,,,,,,,,,,,95.1,97,96.8,96.9,96.2,,96.3,,95.1,,,
Cambodia,,,,,,34.9,,11.1,42.9,,53.1,62,55.9,54.7,58.4,56.8,55.8,57.3,,,62,68.5,,,
Indonesia,,,,,,92.7,92.2,86.7,,,,88.7,87.1,,80.9,,,82.8,,,,,,,
Lao People's Democratic Republic,,,32.1,31.1,34.2,,41.3,42.4,56.2,53.8,54.1,63,65,63.4,62.5,61.8,61.2,67.8,69.4,71.5,69.2,71.1,74.4,,
Malaysia,83.3,82.4,,85.7,,,,,,,,,96.8,,,89.6,92.4,96.2,97.9,99.9,100,99.8,,,
Myanmar,,,,,,,,,,,55.2,60.5,65.6,68.6,,,,,69.2,77.5,,,,,
Philippines,,,,,,,,,75.9,,,79.8,78.5,77.3,77.4,75.4,78.4,80.1,80,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,98.8,,,,,,
Thailand,,,,,,,,,,84.6,95.5,,,,,,,,,,,,,,
Viet Nam,,,,,,,,,,86.2,85.4,87.9,84.6,,,,,,,,,,94.5,,
