Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,92.5,93.7,95.2,95.1,,,,,,,,,,,,,,97.2,97.5,96.5,96.4,96.2,94.8,
Cambodia,,,,,,,,89.3,91.1,92,97.5,,,99.6,,,99,,99.8,,98.5,,99.7,,
Indonesia,99.7,98.8,98,96.6,97.2,97,95.2,95.1,,,,98.1,97.3,97.1,96.3,95.9,97.2,99.9,98,98.6,97.3,94.7,94.7,,
Lao People's Democratic Republic,,,62.2,67.5,71.4,,72.3,74.5,77.6,77.6,78.1,77.1,78,80.3,80.2,81,82.4,84.7,87.1,89.9,95.7,96.3,96.8,98.1,
Malaysia,,,,,96,,,,95.4,95.7,97.8,97.5,96.9,98.5,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,99.3,,,,,,,,93.4,88.8,,89.1,89.2,89.8,89.1,88.3,86.7,86.6,86.9,87.9,,,,90.8,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,94.6,95.1,95.6,96.2,,,,,
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,
