Countries and areas,Reference year(s) ,Total,Male,Female,Residence(Urban),Residence(Rural),Wealth quintile(Poorest),Wealth quintile(Second),Wealth quintile(Middle),Wealth quintile(Fourth),Wealth quintile(Richest),Source
Brunei Darussalam,2010,94,96.9,91.9,,,,,,,,ASEAN Secretariat
Cambodia,2014,93,91.76,93.91,96.94,92.24,86.26,91.5,95.47,96.52,97.85,UNESCO Institute for Statistics
Indonesia,2013,98,98.2,98.6,99.1,97.8,90.7,94.1,94.9,96.3,97,UNESCO Institute for Statistics
Lao PDR,2011-12,85,85.2,84.7,94.9,82.7,70.8,82,91.5,94.6,97.3,UNESCO Institute for Statistics
Malaysia,2010,96,95.9,96.5,,,,,,,,ASEAN Secretariat
Myanmar,2009-10,90,89.8,90.6,93,89.2,81.4,90.6,93.7,94.9,94.9,UNESCO Institute for Statistics
Philippines,2003,88,87.57,88.94,90.21,86.51,78.91,88.34,92,93.82,92.08,UNESCO Institute for Statistics
Singapore,2010,100,100,100,,,,,,,,ASEAN Secretariat
Thailand,2012,96,95.6,95.7,95.5,95.8,94.4,95.5,95.6,96.4,96.8,UNESCO Institute for Statistics
Viet Nam,2014,98,97.87,97.57,98.36,97.45,94.44,98.55,99.34,98.71,98.43,UNESCO Institute for Statistics
