Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,,,,,,,112.2,115.4,115.3,113,114.6,111.5,113.3,108.7,109.6,109.3,110.5,110.1,107.2,107.8,108.4,100.8,97.2,
Cambodia,,,,,,35.2,,12.7,26.5,35.5,,45.9,55,62,73.1,84.1,88.7,92.4,89.2,88.2,91.7,93.7,98.6,94.7,
Indonesia,,,,,,96.7,95.4,93.8,,,,95.4,96.9,97.5,98.3,96.9,94.8,98,98.7,102,,102.1,106.6,,
Lao People's Democratic Republic,,,35.7,38.9,42.4,,50.3,52.5,57.6,62.5,61.3,62,63,62.3,62.3,64.3,66.6,69.1,71.6,74.4,80,87.4,93.3,99.5,
Malaysia,87.7,89,,92,,,,,97.8,94.4,,,91.1,91,94.6,97.6,,,,,,,,,
Myanmar,,,,,,,,,,67.6,73.7,74.5,76,78.7,81,,,91.6,92,92.7,96.8,,,,
Philippines,,,,,,,,,87.9,89.2,,105.5,98.4,98.9,97.4,97.7,95.2,94.3,94.9,93.9,,,,95.5,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,87.5,84.1,86.1,,,,,,,,,,,,,
Viet Nam,,,,,,,,,,95.2,95.5,100.6,97.6,96,,,,,,,,,,97.7,
