Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,,,,,,,109.9,118,120.2,118.7,127.9,121.6,124.3,112.3,104.5,107.5,108.6,108.6,106.9,110,110.7,103,98.5,
Cambodia,,,,,,49.6,,21.1,37.7,46.3,,56.3,63.7,69.6,79.8,87.4,89.5,92.4,88.9,87.8,90.9,93.2,97.7,99.9,
Indonesia,,,,,,95.2,94.5,97.3,,,,94.5,96.2,97.3,96.6,95,93.5,98.9,98.7,99.5,,97.5,102.6,,
Lao People's Democratic Republic,,,45.2,48.1,54.8,,63.1,66.6,69.8,75.2,72.8,71.7,71,70.1,70.4,72.4,76.7,78,79.3,82.3,85.7,92.8,96.9,102.4,
Malaysia,88,89.3,,92.3,,,,,96.5,95.5,,,93.2,94,99.1,103.4,,,,,,,,,
Myanmar,,,,,,,,,,72,78.1,76.1,76.9,79.3,82.1,,,86.8,90.7,91.4,93.2,,,,
Philippines,,,,,,,,,81.6,83.7,,95.6,90.9,91.7,90.7,90.2,87.9,88.6,89.2,88.7,,,,92,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,89.1,85.2,87.1,,,,,,,,,,,,,
Viet Nam,,,,,,,,,,100.4,100,105.2,102,100.8,,,,,,,,,,97.2,
,,,,,,,,,,,,,,,,,,,,,,,,,
