Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Brunei Darussalam,,98.11,,,,,,,,,,98.91,,,,,,,,,,,99.71
Cambodia,,,,,,,,,71.11,,,,,,78.91,,,,85.51,85.91,,,
Indonesia,95.11,,,,,,,,,,,,,,98.51,,96.31,,99.41,99.41,,98.81,
Lao People's Democratic Republic,,,,,,64.11,,,,,73.61,74.71,,,,78.71,,,,,,,
Malaysia,,95.21,,,,,,,,,97.31,,,,,,,,,,98.51,,
Myanmar,,,,,,,,,,,93.51,,,,,,,,,,,,95.81
Philippines,96.91,,,,,,,,,,95.71,,,96.61,,,,,98.51,,,,
Singapore,99.11,,,,,,,,,,99.61,,,,,,,,,,99.81,99.81,99.81
Thailand,,,,,,,,,,,97.81,,,,,97.91,,,,,96.61,,
Viet Nam,,,,,,,,,,93.61,94.11,,,,,,,,,96.81,,,
